Parcelle;SOC;TN;C_N;OM;PH;Clay;Silt;Sand;N_mineral;IFT_Herbicide;IFT_Fongicide;Culture;Travail_sol;Nb_cultures;Prop_Hiver;Prop_Ete;Prop_Printemps;Freq_labour
11003;15,8;1,55;10,2;27,3;7,87;38,3;56;5,7;169;1,56;0,57;Orge_hiver;Decompactage;4;1;0;0;0
11005;21,5;2,33;9,22;37,2;8,16;43,8;47,9;8,3;136;2,54;0,79;Ble_tendre_hiver;Decompactage;4;0,75;0;0,25;0,25
11006;14,62;1,44;10,12;25,27;7,48;36,47;56,3;7,23;151;1,96;2,23;Orge_hiver;Labour;5;1;0;0;0,75
11007;15,5;1,54;10;26,8;8,01;36,8;57,2;6;52;2,1;0,8;Ble_tendre_hiver;Travail_intermediaire;3;1;0;0;0,25
11009;13,5;1,36;9,92;23,3;8,3;39,8;53,2;7;102;0,83;1,48;Orge_printemps;Labour;4;0,5;0;0,5;0,5
11010;11,9;1,17;10,2;20,6;7,48;17,7;75,6;6,7;102;0,83;1,48;Orge_printemps;Labour;4;0,5;0;0,5;0,5
11011;11,32;1,92;8,868;19,58;7,67;30,26;62,6;7,133;209;1,92;0,83;Ble_tendre_hiver;Travail_intermediaire;4;0,75;0;0,25;0,25
11012;10,36;1,01;10,23;17,93;6,83;25,9;66,5;7,6;146;1,6;0,88;Orge_hiver;Labour;4;0,75;0,25;0;0,75
11019;25;2,52;9,92;43,3;7,16;59,6;37,7;2,7;178;1,42;1,09;Ble_tendre_hiver;Decompactage;5;0,75;0;0,25;0,75
11020;10,6;0,99;10,7;18,4;6,82;36,6;56,5;6,9;188;1,42;1,49;Ble_tendre_hiver;Decompactage;4;0,75;0;0,25;0,75
11021;25,05;2,45;10,15;43,3;8,07;36,4;49,77;13,82;188;1,42;1,09;Ble_tendre_hiver;Decompactage;3;1;0;0;0,5
11022;13,7;1,34;10,22;23,73;7,53;33,4;60,43;6,17;190;1,42;1,09;Ble_tendre_hiver;Decompactage;5;0,75;0;0,25;0,75
11023;13,93;1,37;10,2;24,06;7,79;29,4;64,36;6,23;188;1,42;1,09;Ble_tendre_hiver;Decompactage;5;1;0;0;0,5
11033;15,06;1,43;10,43;26;7,68;31,5;58,36;10,13;133;2,52;2,97;Orge_hiver;Labour;4;1;0;0;1
