Parcelle;ShannonMicro;BiomasseMicro;RichesseMicro
11007;4,74;49;1664
11019;5,29;76,5;1776
11062;5,37;70;1822
11052;5,49;34;1961
11064;5,49;53,5;1890
11022;5,52;53,16;1908
11120;5,52;65,37;1894
11038;5,52;48,5;1905
11020;5,55;2,3;1992
11071;5,56;40;1874
11005;5,57;59;1935
11010;5,57;34;1992
11023;5,57;51,66;1896
11009;5,58;57;1919
11134;5,58;49;2047
11068;5,59;15;1900
11127;5,59;47,25;1940
11006;5,59;42,75;1929
11086;5,59;52;1924
11012;5,61;28,66;2050
11113;5,62;25,66;1954
11074;5,63;41,66;1991
11097;5,63;53;2073
11061;5,63;61;1944
11011;5,63;36,66;2049
11104;5,64;35,66;2001
11033;5,65;36;2041
11107;5,66;50;2054
11051;5,67;35;1977
11003;5,67;6,5;1963
11082;5,70;16;1960
11228;5,70;49;2125
11059;5,71;26;2142
11050;5,72;56,66;2048
11021;5,72;71,42;2022
11208;5,80;92;2176
11209;5,83;88,5;2249
11048;5,87;91;2369
11056;5,96;44;2359
11001;5,75;93,77;2149
11037;5,48;66,67;1867
